x1,x2,x3,x4,x5
0.588507,0.157453,0.072937,0.075952,0.000649
0.157453,0.785752,0.109814,0.002716,0.00071
0.072937,0.109814,0.251084,0.214209,0.065114
0.075952,0.002716,0.214209,0.277523,0.604837
0.000649,0.00071,0.065114,0.604837,0.778924
