"","days","beta_t"
"166",2020-08-13,0.190112335786517
"167",2020-08-14,0.18963705488764
"168",2020-08-15,0.189161773988764
"169",2020-08-16,0.188686493089888
"170",2020-08-17,0.188211212191011
"171",2020-08-18,0.187735931292135
"172",2020-08-19,0.187260650393258
"173",2020-08-20,0.186785369494382
"174",2020-08-21,0.186310088595506
"175",2020-08-22,0.185834807696629
"176",2020-08-23,0.185359526797753
"177",2020-08-24,0.184884245898876
"178",2020-08-25,0.184408965
"179",2020-08-26,0.183933684101124
"180",2020-08-27,0.183458403202247
"181",2020-08-28,0.182983122303371
"182",2020-08-29,0.182507841404494
"183",2020-08-30,0.182032560505618
"184",2020-08-31,0.181557279606742
"185",2020-09-01,0.181081998707865
"186",2020-09-02,0.180606717808989
"187",2020-09-03,0.180131436910112
"188",2020-09-04,0.179656156011236
"189",2020-09-05,0.17918087511236
"190",2020-09-06,0.178705594213483
"191",2020-09-07,0.178230313314607
"192",2020-09-08,0.17775503241573
"193",2020-09-09,0.177279751516854
"194",2020-09-10,0.176804470617978
"195",2020-09-11,0.176329189719101
"196",2020-09-12,0.175853908820225
"197",2020-09-13,0.175378627921348
"198",2020-09-14,0.174903347022472
"199",2020-09-15,0.174428066123595
"200",2020-09-16,0.173952785224719
"201",2020-09-17,0.173477504325843
"202",2020-09-18,0.173002223426966
"203",2020-09-19,0.17252694252809
"204",2020-09-20,0.172051661629213
"205",2020-09-21,0.171576380730337
"206",2020-09-22,0.171101099831461
"207",2020-09-23,0.170625818932584
"208",2020-09-24,0.170150538033708
"209",2020-09-25,0.169675257134831
"210",2020-09-26,0.169199976235955
"211",2020-09-27,0.169200034034483
"212",2020-09-28,0.172117275413793
"213",2020-09-29,0.175034516793104
"214",2020-09-30,0.177951758172414
"215",2020-10-01,0.180868999551724
"216",2020-10-02,0.183786240931035
"217",2020-10-03,0.186703482310345
"218",2020-10-04,0.189620723689655
"219",2020-10-05,0.192537965068966
"220",2020-10-06,0.195455206448276
"221",2020-10-07,0.198372447827586
"222",2020-10-08,0.201289689206897
"223",2020-10-09,0.204206930586207
"224",2020-10-10,0.207124171965517
"225",2020-10-11,0.210041413344828
"226",2020-10-12,0.212958654724138
"227",2020-10-13,0.215875896103448
"228",2020-10-14,0.218793137482759
"229",2020-10-15,0.221710378862069
"230",2020-10-16,0.224627620241379
"231",2020-10-17,0.22754486162069
"232",2020-10-18,0.230462103
"233",2020-10-19,0.23337934437931
"234",2020-10-20,0.236296585758621
"235",2020-10-21,0.239213827137931
"236",2020-10-22,0.242131068517241
"237",2020-10-23,0.245048309896552
"238",2020-10-24,0.247965551275862
"239",2020-10-25,0.250882792655172
"240",2020-10-26,0.253800034034483
"241",2020-10-27,0.253800054966102
"242",2020-10-28,0.251888190559322
"243",2020-10-29,0.249976326152542
"244",2020-10-30,0.248064461745763
"245",2020-10-31,0.246152597338983
"246",2020-11-01,0.244240732932204
"247",2020-11-02,0.242328868525424
"248",2020-11-03,0.240417004118644
